text,edit_history_tweet_ids,lang,id,created_at,query
"@catturd2 BREAKING NEWS: Kentucky politicians in the same political party take pictures together.  By using your logic, Donald Trump loves him some Epstein you clown. https://t.co/n8FHNNlbv1",['1990086667378594116'],en,1990086667378594116,2025-11-16T15:56:50.000Z,
"@Military_Mantra 7 brand new fighter jets were shot down. 
Donald Trump, Indian Parliament debate 
23 military sites were targeted by Pakistan. We don't want escalation with Pakistan. 
Col Sophia Indian Army
How many jets were down is not important. Why they were down in important.
CDS Chohan 🖕",['1990086636491735074'],en,1990086636491735074,2025-11-16T15:56:42.000Z,
@simonateba That’s President Donald J Trump to you Simple Simp Simon,['1990086627838841287'],en,1990086627838841287,2025-11-16T15:56:40.000Z,
@Resisting313392 Over 50 women came with specific stories pointing directly at Epstein and Donald J Trump DJ T is as always was guilty as hell and has been for years womanizing salting. I’ve been win by women by their general Julia committing adultery fornicating this is not complicated math. https://t.co/8zkycgLzS7,['1990086590085931167'],en,1990086590085931167,2025-11-16T15:56:31.000Z,
@GazetteNGR These morons really took Donald Trump serious 😅😅😅 person wey welcome and dine with Jolani ISIS leader at the white house. Your propaganda and agenda will never work. Islam is the tsunami and fast growing religion even in the USA. NO amount of propaganda can stop it!!,['1990086584415166628'],en,1990086584415166628,2025-11-16T15:56:30.000Z,
@donwinslow It’s common knowledge that the 2020 election was stolen from Donald Trump,['1990086575959515421'],en,1990086575959515421,2025-11-16T15:56:28.000Z,
"@WarlordDilley God bless America God bless Donald J Trump, and all his cabinet members. The truth will set you free avoid all Democrats all they know how to do is lie, cheat, and steal from us the American people.  And we are done with that.",['1990086567130476718'],en,1990086567130476718,2025-11-16T15:56:26.000Z,
"BBC chief rallies 'incredible' troops in face of 'attacks' over Donald Trump Panorama scandal - and urges staff to 'check in' with colleagues working on news 
https://t.co/4l08ytRpmp",['1990086564483850314'],en,1990086564483850314,2025-11-16T15:56:25.000Z,
@NickAdamsinUSA @NickAdamsinUSA  This is crap about groceries being more affordable than under Joe Biden.  The CPI food-at-home index was up 2.7% in the 12 months ended September with Donald Trump as President.,['1990086560708968952'],en,1990086560708968952,2025-11-16T15:56:24.000Z,
@RecondosGhost @AVGirl4Life The real Donald Trump,['1990086555554238781'],en,1990086555554238781,2025-11-16T15:56:23.000Z,
"@ConceptualJames Donald Trump destroyed MAGA, by behaving like a narcissistic child.",['1990090826471350500'],en,1990090826471350500,2025-11-16T16:13:21.000Z,donald trump lang:en -is:retweet
Don’t Be Fooled: Marjorie Taylor Greene Still Wants to Reconcile With Trump https://t.co/KSEPaysSU6,['1990090819047490034'],en,1990090819047490034,2025-11-16T16:13:20.000Z,donald trump lang:en -is:retweet
"@Jeff418420 @JOKAQARMY1 AI Overview:

No, the prosecution and conviction of Ghislaine Maxwell did not prevent the Biden administration or the Biden Department of Justice (DOJ) from charging Donald Trump in connection with the Jeffrey Epstein case.

Democrats don't have anything on Trump.
All talk",['1990090815230693877'],en,1990090815230693877,2025-11-16T16:13:19.000Z,donald trump lang:en -is:retweet
"@nypost Donald Trump commuted the sentence of Eliyahu Weinstein, who was accused of leading a ponzi scheme for millions.

He was just  sentenced again to 37 years in prison for stealing $40 million from his clients, per CBS",['1990090799057702996'],en,1990090799057702996,2025-11-16T16:13:15.000Z,donald trump lang:en -is:retweet
"@LauraLoomer @mtgreenee @SpeakerJohnson Dude if Donald Trump called me anything I would know what to do with it

 I feel like this might possibly be a setup and he mentioned her to get her in the media 

Is that what just happened Brock is that what the President did?",['1990090784142479744'],en,1990090784142479744,2025-11-16T16:13:11.000Z,donald trump lang:en -is:retweet
"@KontackCEO @JOKAQARMY1 AI Overview:

No, the prosecution and conviction of Ghislaine Maxwell did not prevent the Biden administration or the Biden Department of Justice (DOJ) from charging Donald Trump in connection with the Jeffrey Epstein case.

Democrats don't have anything on Trump.
All talk",['1990090776227844187'],en,1990090776227844187,2025-11-16T16:13:09.000Z,donald trump lang:en -is:retweet
You don’t know how it feels until it’s directed at you. I’m grateful for this response. She has truly started the complete Repudiation of Donald John Trump. Any other Republicans want to reclaim their spines? https://t.co/Mk8XfbAyeP,['1990090763896512855'],en,1990090763896512855,2025-11-16T16:13:06.000Z,donald trump lang:en -is:retweet
"lol the infighting is neverending.

'Move over MAGA': America First wave gains steam with hat trend, Nick Fuentes push amid Trump-MTG showdown
https://t.co/V5UpfyNPG5",['1990090752324682070'],en,1990090752324682070,2025-11-16T16:13:04.000Z,donald trump lang:en -is:retweet
"@JOKAQARMY1 AI Overview:

No, the prosecution and conviction of Ghislaine Maxwell did not prevent the Biden administration or the Biden Department of Justice (DOJ) from charging Donald Trump in connection with the Jeffrey Epstein case.

Democrats don't have anything on Trump.
All talk",['1990090740832043471'],en,1990090740832043471,2025-11-16T16:13:01.000Z,donald trump lang:en -is:retweet
"@Scaaress @jandykhaled @Mmaasemy3 Your facts started from FIFA helping Messi 
When you got tired of that logic 
Now you procrastinate illuminati helping him too
Pls whose next ?? KFC? Donald Trump? 😂😂
That quote""Madrid/Ronaldo fan being less intelligent is the greatest quote ever",['1990090739716354265'],en,1990090739716354265,2025-11-16T16:13:01.000Z,donald trump lang:en -is:retweet
"@KM_Michael4 @Jasonlovecougar @SuellaBraverman What misinformation have they broadcast?
Even this isn't that as those were words he said and to save viewers listen to his word salad they condensed it with the gist of his message.

Trump would have been convicted over 2020 election, says special counsel https://t.co/MduLSS0TSM",['1990094332125196697'],en,1990094332125196697,2025-11-16T16:27:17.000Z,donald trump lang:en news -is:retweet
"@MyArrse And this is not Donald Trump promoting ""FAKE NEWS""?",['1990094277251158399'],en,1990094277251158399,2025-11-16T16:27:04.000Z,donald trump lang:en news -is:retweet
"'We Took Out More Regulation Than Any Other President': Donald Trump Brags About Making America Less Safe In Oval Office Remarks https://t.co/55buycig4x all that protected people and the earth, 😡😡",['1990094209056215239'],en,1990094209056215239,2025-11-16T16:26:48.000Z,donald trump lang:en news -is:retweet
"The BBC’s penchant for bias and disinformation is not limited to US President Donald Trump, covid, climate change and critical social justice messaging. #LatestNews #Propaganda
https://t.co/yUFkKXXivg https://t.co/P2g6SZZF0f",['1990094160494297194'],en,1990094160494297194,2025-11-16T16:26:36.000Z,donald trump lang:en news -is:retweet
Donald #Trump attacking congressman Thomas Massie’s personal life trying to discredit his integrity #usa #america #israel #news https://t.co/1cympZUR6M,['1990094036342870170'],en,1990094036342870170,2025-11-16T16:26:07.000Z,donald trump lang:en news -is:retweet
"Donald Trump Calls For Late Night Host Seth Meyers To Be Fired — And This Time, FCC Chairman Reposts POTUS’ Demand https://t.co/8oCBOEfHwM via @@Yahoo",['1990093961621336517'],en,1990093961621336517,2025-11-16T16:25:49.000Z,donald trump lang:en news -is:retweet
"Check out this story from USA TODAY: 'Hope to make up'. Marjorie Taylor Greene weighs in on her beef with Trump

""I certainly hope that we can make up,"" Greene told CNN when asked if the president and the Georgia Republican have a path forward.

https://t.co/S85MsW4yZw",['1990093942956740651'],en,1990093942956740651,2025-11-16T16:25:44.000Z,donald trump lang:en news -is:retweet
"@harryjsisson That is laughable in the extreme. He's stayed about the same and better than the average track.

https://t.co/2xEN0ZU9CA",['1990093774110818694'],en,1990093774110818694,2025-11-16T16:25:04.000Z,donald trump lang:en news -is:retweet
"@4thOfJuly365 Did Bubba say it was the best?
🤔
Epstein email hints Donald Trump 'blowing bubba' Clinton | The Jerusalem Post https://t.co/VgKMHi2Wrq",['1990093748093473011'],en,1990093748093473011,2025-11-16T16:24:58.000Z,donald trump lang:en news -is:retweet
"I hope they try and use taxpayers money, or put the licence fee up because of any settlement, as that will kill them off completely....
They have to go down the "" Subscription "" route, as the Licence fee along with the BBC is outdated.
#DefundtheBBC

https://t.co/y26PlA0HjV",['1990093560561979811'],en,1990093560561979811,2025-11-16T16:24:13.000Z,donald trump lang:en news -is:retweet
How Donald Trump looked after Bill Clinton was done with him https://t.co/pCu1owBNl3,['1990101725500383318'],en,1990101725500383318,2025-11-16T16:56:40.000Z,donald trump lang:en clinton -is:retweet
What is the Donald Trump-Bill Clinton news that I am missing? 🤔,['1990101420809294189'],en,1990101420809294189,2025-11-16T16:55:27.000Z,donald trump lang:en clinton -is:retweet
o bill clinton e o donald trump https://t.co/82MD1z7ywI,['1990100545202172280'],en,1990100545202172280,2025-11-16T16:51:58.000Z,donald trump lang:en clinton -is:retweet
Nigga they saying Donald Trump did WHAT to Bill Clinton 😳 😱,['1990100307552956793'],en,1990100307552956793,2025-11-16T16:51:02.000Z,donald trump lang:en clinton -is:retweet
"Donald Trump gave Bill Clinton some head?

My friends are all fake.",['1990100259390001405'],en,1990100259390001405,2025-11-16T16:50:50.000Z,donald trump lang:en clinton -is:retweet
"@redpillb0t Donald Trump donated $100,000 to the Clinton Foundation. Trump also donated $25,000 to the New York State Democratic Committee in 2006. Trump gave $4,800 to Hillary Clinton's Senate campaign in 2002 and $2,800 to her presidential campaign in 2007.",['1990099667930026181'],en,1990099667930026181,2025-11-16T16:48:29.000Z,donald trump lang:en clinton -is:retweet
"After several days of zazen, I finally opened up my phone and the first thing I saw was a text message saying ""Donald Trump blew Bill Clinton!""",['1990099626913923230'],en,1990099626913923230,2025-11-16T16:48:19.000Z,donald trump lang:en clinton -is:retweet
Turns out Donald trump loves bill Clinton’s  big beautiful bill 😂💀,['1990099295186391502'],en,1990099295186391502,2025-11-16T16:47:00.000Z,donald trump lang:en clinton -is:retweet
"Here’s where we are in America now. A couple nights ago, I told my wife that, based on the Epstein files, we now know there’s a chance Donald Trump gave Bill Clinton a blowjob, and that Putin has tape of it.

Her reaction… https://t.co/SYpEtpYlEY",['1990099045998616718'],en,1990099045998616718,2025-11-16T16:46:01.000Z,donald trump lang:en clinton -is:retweet
Bill Clinton Donald Trump yaoi will pop up any day now. Just bookmark this,['1990098987999744450'],en,1990098987999744450,2025-11-16T16:45:47.000Z,donald trump lang:en clinton -is:retweet
"Jeffrey Epstein 'Believed' Donald Trump 'Alerted Police' About His Trafficking Scheme Amid Their 'Exploding Feud,' Michael Wolff Claims
https://t.co/m3BAuuY74d",['1990110856500084888'],en,1990110856500084888,2025-11-16T17:32:57.000Z,donald trump lang:en epstein -is:retweet
"@TheRicanMemes We don't forget, dumbass .. you do:  https://t.co/5dTN6JrUWo",['1990110709531673079'],en,1990110709531673079,2025-11-16T17:32:22.000Z,donald trump lang:en epstein -is:retweet
"""Rep. Marjorie Taylor Greene said the growing animosity between her and President Donald Trump “has all come down to the Epstein files.”
“I believe the country deserves transparency in these files, and I don’t believe that rich, powerful people should be protected if they have",['1990110660735152604'],en,1990110660735152604,2025-11-16T17:32:10.000Z,donald trump lang:en epstein -is:retweet
Rep. Ro Khanna on push to release Epstein files: 'It's not about Donald Trump' https://t.co/vR0FNsC7mr,['1990110626413490404'],en,1990110626413490404,2025-11-16T17:32:02.000Z,donald trump lang:en epstein -is:retweet
🔥 All people in the USA 🇺🇸 should be both angry and embarrassed by the corruption in our government! Donald Trump should be in prison!! Joe Biden should have released the Jeffrey Epstein files!!! Free Palestine 🇵🇸 NOW. SAVE THE CHILDREN IN SUDAN 🇸🇩!!!!! 🔥,['1990110591726600316'],en,1990110591726600316,2025-11-16T17:31:54.000Z,donald trump lang:en epstein -is:retweet
"@heymikey80 @varadmehta The exculpatory evidence, according to Donald Trump, is in the Epstein files. Which for reasons you still haven’t explained he is fighting extremely hard to block the release of.",['1990110549372260459'],en,1990110549372260459,2025-11-16T17:31:44.000Z,donald trump lang:en epstein -is:retweet
"Think about it, folks🤔, DONALD TRUMP is SO DESPERATE to keep the TRUTH about HIS association  with JEFFREY EPSTEIN from coming out, that he tried to 'PUT THE SCREWS'🔩👍🔧, to a sitting US REP, LAUREN BOEBERT, by making her meet with DOJ officials, Kash 'BUG EYES' Patel, and Pam",['1990110364277809480'],en,1990110364277809480,2025-11-16T17:30:59.000Z,donald trump lang:en epstein -is:retweet
"Donald Trump blew Bill Clinton. Hilarious, but bigger story here is

Epstein was involved in a blackmail ring with foreign nations to influence and intimidate American politicians.

Who else in involved? Who else was raping children and who else is taking advantage of it?",['1990110267305521409'],en,1990110267305521409,2025-11-16T17:30:36.000Z,donald trump lang:en epstein -is:retweet
"@restoreorderusa And none of them can tell you why the Biden Administration, with 4 yrs to look over the Epstein papers for juicy bits about Donald Trump, decided not to publish any of them.",['1990110199747907743'],en,1990110199747907743,2025-11-16T17:30:20.000Z,donald trump lang:en epstein -is:retweet
"Page 287 of “Nobody’s Girl”…

There was a secretive non prosecution agreement in place unbeknownst to Epstein survivors… Alexander Acosta was the former federal prosecutor that approved it &amp; in 2017 was nominated Secretary of Labor by Donald Trump. https://t.co/leULdyI9iI",['1990110172472107314'],en,1990110172472107314,2025-11-16T17:30:14.000Z,donald trump lang:en epstein -is:retweet
Trump pardons Rudy Giuliani and others who backed efforts to overturn his 2020 election loss https://t.co/6TXtKuaLU7,['1990116854937923695'],en,1990116854937923695,2025-11-16T17:56:47.000Z,donald trump lang:en election -is:retweet
"@narindertweets What is wrong with freaks like you, it's like all the inbreds are heading for the same party 🥳 

The shitty bbc lies about Donald Trump he is due every signal penny and what makes it worse is that the woke bbc interfereed in an foreign election our #1 allie the USA",['1990115980085715260'],en,1990115980085715260,2025-11-16T17:53:18.000Z,donald trump lang:en election -is:retweet
To be clear ..... Sleepy Joe Biden and Kamala Harris's DOJ had proof of Donald Trumps involvement with Jeffery Epstein during the election where President Trump humiliated Kamala on election day on 2024 and didn't use it?,['1990115727991267835'],en,1990115727991267835,2025-11-16T17:52:18.000Z,donald trump lang:en election -is:retweet
"@Teine96799 @maddenifico The 91 felony charges against Donald Trump stem from four separate indictments: 34 counts of falsifying business records in New York (related to hush money payments), 40 federal counts in Florida for mishandling classified documents and obstruction, 13 RICO and election",['1990115561892872680'],en,1990115561892872680,2025-11-16T17:51:39.000Z,donald trump lang:en election -is:retweet
Donald Trump and Republicans react to ‘shocking’ election results https://t.co/1uo3vEOoRy via @ft,['1990115544859554020'],en,1990115544859554020,2025-11-16T17:51:35.000Z,donald trump lang:en election -is:retweet
"@restoreorderusa &gt;You betrayed President Trump, without whom you would be a complete nobody.

um.... Trumpo only endorsed MTG AFTER she won the GOP primary in 2020 

Donald Trump endorsed Marjorie Taylor Greene in 2020 after she won her primary election.",['1990115238897745952'],en,1990115238897745952,2025-11-16T17:50:22.000Z,donald trump lang:en election -is:retweet
@ZephyrNCC17011 @raghu_venugopal @AOttley27296 @ElephantSignal That’s very strange. How did Donald Trump win the election by such a wide margin? https://t.co/QzAsPcJxFX,['1990115042004545561'],en,1990115042004545561,2025-11-16T17:49:35.000Z,donald trump lang:en election -is:retweet
"@harryjsisson Wow, then Donald Trump should get back all the money that she used to get him elected. Donate million dollars to his election. Yeah he should give that money back to her.",['1990112659669200925'],en,1990112659669200925,2025-11-16T17:40:07.000Z,donald trump lang:en election -is:retweet
"@joeroganhq Donald J. Trump received 77,302,580 popular votes to Kamala Harris’s 75,017,613 per certified results from the Federal Election Commission and state canvasses.  Trump won 2,633 counties (86% of 3,060 total) to Harris’s 427, reflecting rural dominance as in historical GOP patterns https://t.co/fC9j34ygGk",['1990112614085791908'],en,1990112614085791908,2025-11-16T17:39:56.000Z,donald trump lang:en election -is:retweet
@McFaul Donald Trump may have stole the last election. He's really not the person who should be taking him out.,['1990110770693112097'],en,1990110770693112097,2025-11-16T17:32:36.000Z,donald trump lang:en election -is:retweet
"Just so we understand where we are in this debate, Donald Trump is on the side of Kulinski. https://t.co/nb45g2IWL9",['1990408572925018596'],en,1990408572925018596,2025-11-17T13:15:58.000Z,donald trump lang:en debate -is:retweet
"Gov. Abbott, Tom Homan serve early Thanksgiving to Eagle Pass troops - Nonstop News. https://t.co/mYDeF0tae1

Abbott Border Visit: https://t.co/MZsOgHkWtA
Healthcare Debate: https://t.co/Ph2XtUSafA
Final Pennies: https://t.co/ScJnxTIPL3 https://t.co/nHt8DeIt2Z",['1990408371162193983'],en,1990408371162193983,2025-11-17T13:15:10.000Z,donald trump lang:en debate -is:retweet
"@AnnieForTruth Joe Bidens bad debate was against Donald Trump.  It was the contrast between the two of them that made it glaringly obvious that Joe Biden was in severe cognitive decline. 
So Rick Wilson is full of shit. And Annie is an idiot for parroting this.",['1990399931723513975'],en,1990399931723513975,2025-11-17T12:41:38.000Z,donald trump lang:en debate -is:retweet
Dame Dash Defends Donald Trump In Heated Debate With Charlamagne 😬 https://t.co/PIivP5Zho4 via @YouTube,['1990394844972196101'],en,1990394844972196101,2025-11-17T12:21:25.000Z,donald trump lang:en debate -is:retweet
@joneswb66 @Mimic_Hornet @WallStreetApes The dummy’s act like they cracked a code because they didn’t keep up with current events lol https://t.co/Hn4sxII7zk,['1990391542024998978'],en,1990391542024998978,2025-11-17T12:08:17.000Z,donald trump lang:en debate -is:retweet
@grok @HakHinton @KamalaHarris @Grok during the debate in 2024 with Donald Trump. He accused her of trying to have gender care for illegal aliens. Is that true in California,['1990372964735525083'],en,1990372964735525083,2025-11-17T10:54:28.000Z,donald trump lang:en debate -is:retweet
@yubdenis1 As biased as CNN and ABC were towards Donald Trump...he still went for the debates and assured them live...so ignoring NBS TV yet commenting on their content doesn't make sense...The candidates should be able to cut through the bias unless they are weak in debate,['1990317486252921163'],en,1990317486252921163,2025-11-17T07:14:01.000Z,donald trump lang:en debate -is:retweet
Brother got told! No Dame Dash Defends Donald Trump In Heated Debate With Charlamagne 😬 https://t.co/77r7NJ9RSX via @YouTube,['1990290601812828619'],en,1990290601812828619,2025-11-17T05:27:11.000Z,donald trump lang:en debate -is:retweet
"Nobody stood by Hillary's man like Donald Trump.
That's loyalty for you, destroyed her entirely because she wouldn't satisfy Bubba.
That wasn't a debate, that was two bitches fighting over Bills schlong",['1990272783557775640'],en,1990272783557775640,2025-11-17T04:16:23.000Z,donald trump lang:en debate -is:retweet
"@HonestLee2022 @CalltoActivism AG Merrick Garland was THREATENED. Roy Cohn was a New York lawyer and political fixer who served as a mentor to Donald Trump. Cohn taught Trump many of his signature tactics, such as attacking opponents, and never admitting fault. Debate me. https://t.co/w8LOM8QVzl",['1990255679890928069'],en,1990255679890928069,2025-11-17T03:08:25.000Z,donald trump lang:en debate -is:retweet
"Ben Meiselas (@meiselasb) of @MeidasTouch reports on Donald Jessica Trump's (@realDonaldTrump, @POTUS) awful late night speech to @McDonalds franchise owners as he loses his in mind on stage.
@MeidasNetwork
https://t.co/SdvQWSQuJc",['1990761446712725932'],en,1990761446712725932,2025-11-18T12:38:10.000Z,donald trump lang:en speech -is:retweet
@JosephFordCotto Donald Trump staunchly defends Tucker Carlson's right to free speech and to talk to whomever he chooses.    What an American idea.  https://t.co/SykaD9UwX0,['1990760429292040251'],en,1990760429292040251,2025-11-18T12:34:07.000Z,donald trump lang:en speech -is:retweet
"#Trump shares same views in free speech.  #MAGA @GOP

Donald loves royalty, when you want to make a “deal” to steal from the people, you just do it, that is power he lusts.

#Saudi crown prince to visit #America for the first time since #Khashoggi scandal  https://t.co/cbInOR6Q2o",['1990756558938984472'],en,1990756558938984472,2025-11-18T12:18:44.000Z,donald trump lang:en speech -is:retweet
@mikegalsworthy I guess the BBC should not have fraudulently doctored a TRUMP speech to ensure they would not be sued. This is a left wing propaganda BBC problem and NOT a President Donald Trump problem. BLEED THE BBC DRY!!!!!!!!,['1990735556293091479'],en,1990735556293091479,2025-11-18T10:55:17.000Z,donald trump lang:en speech -is:retweet
"MeidasTouch host Ben Meiselas reports on Donald Trump’s awful late night speech to McDonald’s franchise owners as he loses his in mind on stage. 

He's such an embarrassment!🤦
https://t.co/7EiLTLsa0k",['1990733008723230767'],en,1990733008723230767,2025-11-18T10:45:09.000Z,donald trump lang:en speech -is:retweet
"@DalrympleWill Liz Truss is history.The worst and most hated PM in living memory is Kier Starmer. The BBC protected the worst sexual predators, it is heavily biased in favour of the far left, and doctored President Trump’s speech. Donald Trump is stronger than BBC victims of sexual predators.",['1990723895733735714'],en,1990723895733735714,2025-11-18T10:08:57.000Z,donald trump lang:en speech -is:retweet
"@Waspapping_ No oo. 

This ur prayer won’t scale. 

Shebi u guys were sympathizing with the terrorist. 

Y’all kicked against Donald Trump speech to come and help u guys flush out all these elements. 

Keep sympathizing with terrorist",['1990719725903417452'],en,1990719725903417452,2025-11-18T09:52:23.000Z,donald trump lang:en speech -is:retweet
"@lembitopik Talk of October being an independent production company but this piece says that the doc was made by a mix of October &amp; BBC staff, &amp; claims it was a BBC staffer who put in the doctored speech without telling October https://t.co/5JQdmrwLDQ @simonspanswick",['1990714107897536742'],en,1990714107897536742,2025-11-18T09:30:03.000Z,donald trump lang:en speech -is:retweet
"@radar_online Days after issuing an apology to Donald Trump for a misleading edit of his January 6th speech, the network was forced to apologize to The Princess Of Wales after receiving national backlash for using her incorrect title. More details at the link below.",['1990710415802671565'],en,1990710415802671565,2025-11-18T09:15:23.000Z,donald trump lang:en speech -is:retweet
"The BBC is set to fight any legal action by US President Donald Trump, stating there’s no basis for a defamation case over its editing of his speech.
#BBC #DonaldTrump #DefamationCase https://t.co/0PD061OJug",['1990708557218566559'],en,1990708557218566559,2025-11-18T09:08:00.000Z,donald trump lang:en speech -is:retweet
@RepYassAnsari You lunatics just insist on making Donald Trump Rich looks like another lawsuit,['1990797962314985899'],en,1990797962314985899,2025-11-18T15:03:16.000Z,donald trump lang:en lawsuit -is:retweet
@mCasual1 @Rep_Stansbury You’re retarded. And prb a pedo too. https://t.co/6KmOiQybEO,['1990789555184980176'],en,1990789555184980176,2025-11-18T14:29:51.000Z,donald trump lang:en lawsuit -is:retweet
@RedSixerTwitch @Laura222162587 @Damaan4u33 No credible evidence or convictions link Donald Trump to pedophilia. He socialized with Epstein but banned him from Mar-a-Lago after reports of inappropriate behavior toward an underage girl. Allegations like the withdrawn Katie Johnson lawsuit remain unverified and,['1990737179212136506'],en,1990737179212136506,2025-11-18T11:01:44.000Z,donald trump lang:en lawsuit -is:retweet
"🚨Can’t say we didn’t see this coming, Trump just went nuclear
https://t.co/9zfnqkm8AA",['1990725433080291505'],en,1990725433080291505,2025-11-18T10:15:03.000Z,donald trump lang:en lawsuit -is:retweet
2) 2016 Donald Trump child rape lawsuit – graphic details of his savage rape of a 13 year old girl in 1994 https://t.co/wUkTiha0sP,['1990713226074464345'],en,1990713226074464345,2025-11-18T09:26:33.000Z,donald trump lang:en lawsuit -is:retweet
"11/13/2025: https://t.co/QjayimWbrS 
Donald Trump brutally rejects BBC’s apology, vows to forge ahead with lawsuit",['1990711623850299559'],en,1990711623850299559,2025-11-18T09:20:11.000Z,donald trump lang:en lawsuit -is:retweet
"@0_AI_ARTISTRY_0 The text in the image is from a real 2016 lawsuit (Case 5:16-cv-00797-DMG-KS) filed by ""Katie Johnson"" alleging sexual assault by Donald Trump. The case was withdrawn before trial, and sources across the spectrum, including The Guardian and Washington Post, describe it as",['1990707855968907725'],en,1990707855968907725,2025-11-18T09:05:13.000Z,donald trump lang:en lawsuit -is:retweet
"🚨 BREAKING UPDATE | TRUMP SUES BBC FOR $5B 🚨

🇺🇸 President Donald Trump has reportedly filed a $5 billion lawsuit against the BBC, alleging reputational damage from recent reporting.

The move underscores rising tensions between political power and global media, highlighting https://t.co/gN3M12Pmb0",['1990705683990458443'],en,1990705683990458443,2025-11-18T08:56:35.000Z,donald trump lang:en lawsuit -is:retweet
"#BBC chair Samir Shah said in a letter that the broadcaster will firmly contest Donald #Trump’s lawsuit over a Panorama documentary, insisting there is “no basis for a defamation claim.”

#pakistantv #pakistantvglobal #NewsUpdate https://t.co/mUmrLTNXCR",['1990702361376120989'],en,1990702361376120989,2025-11-18T08:43:23.000Z,donald trump lang:en lawsuit -is:retweet
"@KlausKlown @elvislver56 @MAGACult2 No, there are no verified records of Donald Trump personally entering out-of-court settlements with parents of minors over abuse claims. The 2016 anonymous lawsuit alleging misconduct with a 13-year-old was filed and withdrawn without any settlement or admission. Extensive",['1990696066975686672'],en,1990696066975686672,2025-11-18T08:18:22.000Z,donald trump lang:en lawsuit -is:retweet
@GuntherEagleman Insanely insane Donald Trump campaign or releasing the Epstein files and all the Trump supporters those who worship his little penis could not get enough of it and now that Trump doesn’t want to release Epstein files the same idiots that support Donald Trump and his little weenie,['1990806885411205249'],en,1990806885411205249,2025-11-18T15:38:43.000Z,donald trump lang:en supporters -is:retweet
"@4thOfJuly365 No one’s crying about the losers, i.e. Donald Trump supporters. All they can do is cry that he won he won. He won when we know he stole that election and you helped him steal it didn’t you?",['1990806714237792523'],en,1990806714237792523,2025-11-18T15:38:02.000Z,donald trump lang:en supporters -is:retweet
"@CalltoActivism This exemplifies the condition that MAGA supporters have been in - they all deny who Donald Trump is and what he stands for - especially the part where all he ever does is use people and throw them away like toilet paper!

I’m sorry for you Margorie but glad if you’re waking up.",['1990804632495677790'],en,1990804632495677790,2025-11-18T15:29:46.000Z,donald trump lang:en supporters -is:retweet
"Donald Trump will always do what is most advantageous for (itself). And now (it) is about to throw billionaire contributors, political supporters and one time friends under the bus to protect (it’s) image and position in history. But (it) us still looking for an exit.",['1990803814731878872'],en,1990803814731878872,2025-11-18T15:26:31.000Z,donald trump lang:en supporters -is:retweet
"@PoliticsOnX @JeffFarkas11 @JoJoFromJerz Joe Biden referred to Donald Trump's supporters as ""garbage"" on October 30, 2024, during a virtual campaign call responding to a comedian's offensive joke about Puerto Rico at a Trump rally. He stated, ""The only garbage I see floating out there is his supporters,"" implying those",['1990799509442715999'],en,1990799509442715999,2025-11-18T15:09:24.000Z,donald trump lang:en supporters -is:retweet
@EvanAKilgore What changed was………. It took 4 months for a huge team of loyal trump supporters to go through every single page of the files and make sure the name donald trump is erased. It’s as clear as the nose on trumps face.,['1990798772151214494'],en,1990798772151214494,2025-11-18T15:06:29.000Z,donald trump lang:en supporters -is:retweet
@IDX_SOLANA Donald Trump launched a memecoin before he became president and scammed his supporters. It's basically open season on crypto crimes for the next few years.,['1990795458214834333'],en,1990795458214834333,2025-11-18T14:53:19.000Z,donald trump lang:en supporters -is:retweet
"What are all of these Democrats going to drive if Tesla and Toyota are massive Donald Trump supporters? 

The point is, remove politics from your everyday life … the quicker you do that the happier you will be",['1990792404946039277'],en,1990792404946039277,2025-11-18T14:41:11.000Z,donald trump lang:en supporters -is:retweet
@whittler_e It’s all about racism and hate that what motivates Trump supporters. They don’t get nothing about anything else they don’t care young kids listen to Megan Kelly even have to Donald Trump disrespected her on live TV saying her face look like a menstrual period what does she do?,['1990766278337015943'],en,1990766278337015943,2025-11-18T12:57:22.000Z,donald trump lang:en supporters -is:retweet
"@WHLeavitt See this is where we realize that Trump supporters are idiots. Anybody that thinks he’s a tough man he’s an idiot.
Donald Trump‘s a coward always has been. 
Every leader on earth knows that he is the most easily manipulated piece of shit there is.
He can be bribed 7 days a week",['1990764363461062972'],en,1990764363461062972,2025-11-18T12:49:45.000Z,donald trump lang:en supporters -is:retweet
